Chain,Label,Gauge Address,Allocation %,Unnamed: 4,snapshot_label,snapshot_index,share
Mainnet,sDAI/4Pool,0xf6a7ad46b00300344c7d4739c0518db70e722dc4,10.00%,Core Liquidity,ComposableStable USDC-DAI-USDT/sDAI,93,10.0
Mainnet,GHO/USDC/USDT,0xf720e9137baa9c7612e6ca59149a5057ab320cfa ,10.00%,,ComposableStable USDT/USDC/GHO,96,10.0
Arbitrum,sFRAX/4Pool,0x62a82fe26e21a8807599374cac8024fae342ef83,7.50%,,a-ComposableStable sFRAX/4POOL-BPT,176,7.5
Arbitrum,4Pool,0xbb1a15dfd849bc5a6f33c002999c8953afa626ad,5.00%,,a-ComposableStable USDT/DAI/USDC/USDC.e,190,5.0
Arbitrum,aUSDC/USDC,0x75ba7f8733c154302cbe2e19fe3ec417e0679833,2.30%,,a-Gyro AaveUSDCn/USDC,197,2.3
Arbitrum,aUSDT/USDT,0xf937bf168b33d8d10d555e9a039ec1b8e4c543d1,2.30%,,a-Gyro AaveUSDT/USDT,198,2.3
Arbitrum,aUSDC/aUSDT,0xbb034e493ebf45f874e038ae76576df9cc1137e5,5.40%,42.50%,a-Gyroe AaveUSDCn/AaveUSDT,199,5.4
Mainnet,STG-USDC,0x15c84754c7445d0df6c613f1490ca07654347c1b,3.52%,Revenue ,50/50 STG/USDC,24,3.52
Mainnet,wstETH-wETH-BPT,0x5c0f23a5c1be65fa710d385814a7fd1bda480b1c,4.01%,32.50%,ComposableStable wstETH/WETH,114,4.01
Mainnet,B-rETH-Stable,0x79ef6103a513951a3b25743db509e267685726b7 ,5.92%,,MetaStable WETH/rETH,135,5.92
Mainnet,weETH/rETH,0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,3.51%,,ComposableStable rETH/weETH,82,3.51
Mainnet,ezETH-wETH,0xa8b309a75f0d64ed632d45a003c68a30e59a1d8b,6.81%,,ComposableStable WETH/ezETH,103,6.81
Mainnet,weETH/ezETH/swETH,0x253ed65fff980aee7e94a0dc57be304426048b35 ,8.73%,32.50%,ComposableStable weETH/ezETH/rswETH,100,8.73
Ethereum,sdeUSD / deUSD,0xA00DB7d9c465e95e4AA814A9340B9A161364470a ,15.00%,,Gyroe deUSD/sdeUSD,118,15.0
Arbitrum,aGHO/GYD ECLP,0xB599e35f760c47888aD3fF684FF4cd01ff4Dc45B,5.00%,,a-Gyroe GYD/stataArbGHO,206,5.0
Arbitrum,sFRAX/aFRAX ECLP,0x00654F788342647A8Aa15f2eb2490e17d222aC85,5.00%,25%,a-Gyroe stataArbFRAX/sFRAX,207,5.0
